config,delta,metric,delta_mean,delta_std,n_seeds
"rule=30, w=9",trm_nods-untied_matched,accuracy,0.1504666666666667,0.026607735810066053,5
"rule=30, w=9",trm_nods-untied_matched,exact_match,0.6312,0.08319675474440093,5
"rule=30, w=9",trm_nods-untied_stack,accuracy,-0.027288888888888897,0.00877658219705874,5
"rule=30, w=9",trm_nods-untied_stack,exact_match,-0.1658,0.0577511904639203,5
"rule=30, w=9",untied_matched-ff_matched,accuracy,-0.14913333333333337,0.01512078938431912,5
"rule=30, w=9",untied_matched-ff_matched,exact_match,-0.5953999999999999,0.03011312006418468,5
"rule=30, w=9",trm_nods-ff_matched,accuracy,0.0013333333333333196,0.014398859694219772,5
"rule=30, w=9",trm_nods-ff_matched,exact_match,0.03580000000000001,0.10102821388107384,5
"rule=30, w=9",trm_ds-trm_nods,accuracy,-0.013088888888888905,0.010054604006543233,5
"rule=30, w=9",trm_ds-trm_nods,exact_match,-0.06799999999999999,0.049300101419773965,5
"rule=30, w=13",trm_nods-untied_matched,accuracy,0.06238461538461537,0.010224549873629791,5
"rule=30, w=13",trm_nods-untied_matched,exact_match,0.0228,0.006058052492344384,5
"rule=30, w=13",trm_nods-untied_stack,accuracy,-0.0966923076923077,0.025126896878555516,5
"rule=30, w=13",trm_nods-untied_stack,exact_match,-0.1032,0.062343403821094025,5
"rule=30, w=13",untied_matched-ff_matched,accuracy,-0.1239076923076923,0.01063354077196827,5
"rule=30, w=13",untied_matched-ff_matched,exact_match,-0.0754,0.022567675999092148,5
"rule=30, w=13",trm_nods-ff_matched,accuracy,-0.06152307692307692,0.013324178316528603,5
"rule=30, w=13",trm_nods-ff_matched,exact_match,-0.052599999999999994,0.020366639388961546,5
"rule=30, w=13",trm_ds-trm_nods,accuracy,-0.010692307692307645,0.007734308412988133,5
"rule=30, w=13",trm_ds-trm_nods,exact_match,-0.0010000000000000015,0.003807886552931953,5
"rule=90, w=9",trm_nods-untied_matched,accuracy,0.11144444444444443,0.07509783742016271,5
"rule=90, w=9",trm_nods-untied_matched,exact_match,0.6205999999999999,0.3655848738665209,5
"rule=90, w=9",trm_nods-untied_stack,accuracy,-0.0030888888888888967,0.006906965530499367,5
"rule=90, w=9",trm_nods-untied_stack,exact_match,-0.027200000000000002,0.060821048987994286,5
"rule=90, w=9",untied_matched-ff_matched,accuracy,-0.11453333333333333,0.07452783057934938,5
"rule=90, w=9",untied_matched-ff_matched,exact_match,-0.6477999999999999,0.3701873849822546,5
"rule=90, w=9",trm_nods-ff_matched,accuracy,-0.0030888888888888967,0.006906965530499367,5
"rule=90, w=9",trm_nods-ff_matched,exact_match,-0.027200000000000002,0.060821048987994286,5
"rule=90, w=9",trm_ds-trm_nods,accuracy,0.001244444444444448,0.002782662371999746,5
"rule=90, w=9",trm_ds-trm_nods,exact_match,0.010600000000000009,0.02370232056149779,5
"rule=90, w=13",trm_nods-untied_matched,accuracy,0.14329230769230772,0.06430316969742703,5
"rule=90, w=13",trm_nods-untied_matched,exact_match,0.6365999999999999,0.32349930448147796,5
"rule=90, w=13",trm_nods-untied_stack,accuracy,-0.015738461538461545,0.03045010469176823,5
"rule=90, w=13",trm_nods-untied_stack,exact_match,-0.1492,0.31294120853604435,5
"rule=90, w=13",untied_matched-ff_matched,accuracy,-0.1698769230769231,0.044295524504449214,5
"rule=90, w=13",untied_matched-ff_matched,exact_match,-0.9268000000000001,0.06238349140598012,5
"rule=90, w=13",trm_nods-ff_matched,accuracy,-0.026584615384615384,0.031282195249773805,5
"rule=90, w=13",trm_nods-ff_matched,exact_match,-0.2902,0.30705162432398886,5
"rule=90, w=13",trm_ds-trm_nods,accuracy,0.009953846153846136,0.016048613278588295,5
"rule=90, w=13",trm_ds-trm_nods,exact_match,0.12679999999999997,0.20623578738909498,5
"rule=110, w=9",trm_nods-untied_matched,accuracy,0.11368888888888888,0.028387573355037825,5
"rule=110, w=9",trm_nods-untied_matched,exact_match,0.5506,0.13668686842560993,5
"rule=110, w=9",trm_nods-untied_stack,accuracy,-0.021044444444444442,0.016772736549472922,5
"rule=110, w=9",trm_nods-untied_stack,exact_match,-0.14700000000000002,0.11477804668141028,5
"rule=110, w=9",untied_matched-ff_matched,accuracy,-0.12117777777777776,0.02503498786266834,5
"rule=110, w=9",untied_matched-ff_matched,exact_match,-0.5896,0.08471894711338192,5
"rule=110, w=9",trm_nods-ff_matched,accuracy,-0.007488888888888878,0.01677163242862744,5
"rule=110, w=9",trm_nods-ff_matched,exact_match,-0.039000000000000035,0.1106458313719952,5
"rule=110, w=9",trm_ds-trm_nods,accuracy,0.007666666666666666,0.015183649425501874,5
"rule=110, w=9",trm_ds-trm_nods,exact_match,0.05720000000000003,0.10244852365944568,5
"rule=110, w=13",trm_nods-untied_matched,accuracy,0.07739999999999998,0.00655820548409379,5
"rule=110, w=13",trm_nods-untied_matched,exact_match,0.0586,0.005856620185738524,5
"rule=110, w=13",trm_nods-untied_stack,accuracy,-0.07461538461538464,0.04807615383999991,5
"rule=110, w=13",trm_nods-untied_stack,exact_match,-0.143,0.11203124564156196,5
"rule=110, w=13",untied_matched-ff_matched,accuracy,-0.10859999999999999,0.01398598199297037,5
"rule=110, w=13",untied_matched-ff_matched,exact_match,-0.0908,0.020216330032921406,5
"rule=110, w=13",trm_nods-ff_matched,accuracy,-0.031200000000000006,0.007976222059546402,5
"rule=110, w=13",trm_nods-ff_matched,exact_match,-0.0322,0.024076959940989233,5
"rule=110, w=13",trm_ds-trm_nods,accuracy,0.002307692307692322,0.004085984125298287,5
"rule=110, w=13",trm_ds-trm_nods,exact_match,0.0038000000000000004,0.01061602562167217,5
